Deutsch;English;Französisch;Italienisch;Niederländisch;Türkisch;Polnisch;Spanisch;Russisch;Chinesisch;Ukrainisch;Ungarisch;Griechisch
Info über EasyControl;About EasyControl;À propos de EasyControl;Informazioni su EasyControl;Info over EasyControl;EasyControl hakkında;Informacje o EasyControl;Información sobre EasyControl;Информация о EasyControl;关于 EasyControl;Про EasyControl;Az EasyControlról;Σχετικά με το EasyControl
EasyControl 4.0 by SmaDoTec GmbH;EasyControl 4.0 by SmaDoTec GmbH;EasyControl 4.0 par SmaDoTec GmbH;EasyControl 4.0 di SmaDoTec GmbH;EasyControl 4.0 by SmaDoTec GmbH;SmaDoTec GmbH tarafından EasyControl 4.0;EasyControl 4.0 przez SmaDoTec GmbH;EasyControl 4.0 de SmaDoTec GmbH;EasyControl 4.0 от SmaDoTec GmbH;EasyControl 4.0 由 SmaDoTec GmbH 提供;EasyControl 4.0 від SmaDoTec GmbH;EasyControl 4.0 a SmaDoTec GmbH-tól;EasyControl 4.0 από SmaDoTec GmbH
EasyControl Version;EasyControl version;Version de EasyControl;Versione di EasyControl;EasyControl Versie;EasyControl sürümü;Wersja EasyControl;Versión de EasyControl;Версия EasyControl;EasyControl 版本;Версія EasyControl;EasyControl verzió;Έκδοση EasyControl
Deutsch;German;Allemand;Tedesco;Duits;Almanca;Niemiecki;Alemán;немецкий, английский;德语, 英语;Німецька, англійська;Német, angol;Γερμανικά, Αγγλικά
Englisch;English;Anglais;Inglese;Engels;Ingilizce;Angielski;Inglés;Английский, немецкий;英语、德语;Англійська, німецька;Angol, német;Αγγλικά, Γερμανικά
Französisch;French;Français;Francese;Frans;Fransızca;Francuski;Francés;французский английский;法语 英语;Французька англійська;Francia Angol;Γαλλικά Αγγλικά
Italienisch;Italian;Italien;Italiano;Italiaans;Italyan;Włoski;Italiano;Итальянский;意大利语;італійська;Olasz;Ιταλικά
Niederländisch;Dutch;Néerlandais;Olandese;Nederlands;Flemenkçe;Holenderski;Holandés;Голландский;荷兰语;голландська;Holland;Ολλανδικά
Spanisch;Spanish;Espagnol;spagnolo;Spaans;İspanyol;Hiszpański;Español;Испанский;西班牙语;іспанська;Spanyol;Ισπανικά
Türkisch;Turkish;Turc;turco;Turkse;Türk;Turecki;Turco;Турецкий;土耳其语;турецька;Török;Τουρκικά
Polnisch;Polish;Polonais;polacco;Pools;Lehçe;Polski;Polaco;Польский;波兰语;Польська;Lengyel;Πολωνικά
Russisch;Russian;Russe;Russo;Russisch;Rusça;Rosyjski;Ruso;Русский;俄语;Російська;Orosz;Ρωσικά
Chinesisch;Chinese;Chinois;Cinese;Chinees;Çince;Chiński;Chino;Китайский;中文;Китайська;Kínai;Κινέζικα
Ukrainisch;Ukrainian;Ukrainien;Ucraino;Oekraïens;Ukrayna;Ukraiński;Ucraniano;Украина;乌克兰;Українська;ukrán;Ουκρανικά
Ungarisch;Hungarian;Hongrois;Hongrois;Hongaars;Macarca;Węgierski;Húngaro;Венгерский;匈牙利语;угорська;Magyar;Ουγγρικά
Griechisch;Greek;Grec;Greco;Grieks;Yunan;Grecki;Griego;Греция;希腊文;Грецька;Görög;Ελληνική
Standardbenutzer;Default user;Utilisateur par défaut;standard user;Standaard gebruiker;standart kullanıcı;Użytkownik standardowy;Usuario estándar;Стандартный пользователь;标准用户;Стандартний користувач;Standard felhasználó;Τυπικός χρήστης
Benutzer;User;Utilisateur;Utente;Gebruiker;Kullanıcı adı;Użytkownik;Usuario;Выберите пользователя;选择用户;Користувач за замовчуванням;Alapértelmezett felhasználó;Προεπιλεγμένος χρήστης
Verzeichnis wählen;Select folder;Sélectionner le répertoire;Selezionare l'elenco;Index kiezen;Kullanıcı;Wybierz katalog;Seleccionar directorio;Выберите каталог;选择目录;Виберіть каталог;Könyvtár kiválasztása;Επιλογή καταλόγου
OK;OK;ok;Ok;OK;Dizin seçiniz;OK;OK;OK;取消 确定;ОК;OK;OK
Cancel;Cancel;Annuler;Annullare;Annuleren;Tamam;Anuluj;Cancelar;Отмена;取消;Скасувати;Mégsem;Ακύρωση
Verzeichnis;Folder;Répertoire ;Elenco ;Index;İptal et;Katalog;Directorio;Каталог;目录;Каталог;Címtár;Κατάλογος
